sys_call,x86_64_name,i386_name,chosen_name,chosen_arch,mapping_status,syscall_family
199,fremovexattr,getuid32,fremovexattr,x86_64_default,x86_64_default,file_io_fs
200,tkill,getgid32,tkill,x86_64_default,x86_64_default,other
201,time,geteuid32,time,x86_64_default,x86_64_default,other
202,futex,getegid32,futex,x86_64_default,x86_64_default,signal_ipc
203,sched_setaffinity,setreuid32,sched_setaffinity,x86_64_default,x86_64_default,process_thread
204,sched_getaffinity,setregid32,sched_getaffinity,x86_64_default,x86_64_default,process_thread
206,io_setup,setgroups32,io_setup,x86_64_default,x86_64_default,other
207,io_destroy,fchown32,io_destroy,x86_64_default,x86_64_default,other
209,io_submit,getresuid32,io_submit,x86_64_default,x86_64_default,other
211,get_thread_area,getresgid32,get_thread_area,x86_64_default,x86_64_default,other
213,epoll_create,setuid32,epoll_create,x86_64_default,x86_64_default,network_socket
214,epoll_ctl_old,setgid32,epoll_ctl_old,x86_64_default,x86_64_default,network_socket
219,restart_syscall,madvise,restart_syscall,x86_64_default,x86_64_default,process_thread
220,semtimedop,getdents64,semtimedop,x86_64_default,x86_64_default,signal_ipc
221,fadvise64,fcntl64,fadvise64,x86_64_default,x86_64_default,file_io_fs
224,timer_gettime,gettid,timer_gettime,x86_64_default,x86_64_default,time_timer
240,mq_open,futex,mq_open,x86_64_default,x86_64_default,signal_ipc
243,mq_timedreceive,set_thread_area,mq_timedreceive,x86_64_default,x86_64_default,signal_ipc
252,ioprio_get,exit_group,ioprio_get,x86_64_default,x86_64_default,other
255,inotify_rm_watch,epoll_ctl,inotify_rm_watch,x86_64_default,x86_64_default,file_io_fs
256,migrate_pages,epoll_wait,migrate_pages,x86_64_default,x86_64_default,memory
258,mkdirat,set_tid_address,mkdirat,x86_64_default,x86_64_default,file_io_fs
265,linkat,clock_gettime,linkat,x86_64_default,x86_64_default,file_io_fs
268,fchmodat,statfs64,fchmodat,x86_64_default,x86_64_default,permissions_identity
269,faccessat,fstatfs64,faccessat,x86_64_default,x86_64_default,permissions_identity
270,pselect6,tgkill,pselect6,x86_64_default,x86_64_default,other
271,ppoll,utimes,ppoll,x86_64_default,x86_64_default,other
272,unshare,fadvise64_64,unshare,x86_64_default,x86_64_default,other
284,eventfd,waitid,eventfd,x86_64_default,x86_64_default,signal_ipc
289,signalfd4,ioprio_set,signalfd4,x86_64_default,x86_64_default,signal_ipc
292,dup3,inotify_add_watch,dup3,x86_64_default,x86_64_default,file_io_fs
293,pipe2,inotify_rm_watch,pipe2,x86_64_default,x86_64_default,signal_ipc
295,preadv,openat,preadv,x86_64_default,x86_64_default,file_io_fs
300,fanotify_init,fstatat64,fanotify_init,x86_64_default,x86_64_default,other
301,fanotify_mark,unlinkat,fanotify_mark,x86_64_default,x86_64_default,other
306,syncfs,fchmodat,syncfs,x86_64_default,x86_64_default,file_io_fs
307,sendmmsg,faccessat,sendmmsg,x86_64_default,x86_64_default,network_socket
308,setns,pselect6,setns,x86_64_default,x86_64_default,other
309,getcpu,ppoll,getcpu,x86_64_default,x86_64_default,other
311,process_vm_writev,set_robust_list,process_vm_writev,x86_64_default,x86_64_default,memory
320,,utimensat,utimensat,i386_compat_only,i386_compat_only,time_timer
324,,fallocate,fallocate,i386_compat_only,i386_compat_only,file_io_fs
328,,eventfd2,eventfd2,i386_compat_only,i386_compat_only,signal_ipc
331,,pipe2,pipe2,i386_compat_only,i386_compat_only,signal_ipc
340,,prlimit64,prlimit64,i386_compat_only,i386_compat_only,process_thread
345,,sendmmsg,sendmmsg,i386_compat_only,i386_compat_only,network_socket
